National Id,Family Name,Given Name,Address State,Donation Amount,Currency
49625530V,Julián Del Mazo,Rosalía,Barcelona,200 €,EUR
97019472K,Fiorella Bassa,Lucía,Valencia/València,220 €,EUR
21650883V,Alonso Gamella,Laura,Tarragona,100 €,EUR
62525806F,Sánchez Palmeiro, Juan José,Madrid,120 €,EUR
75021099K,Manuela Onieva,Fiorella,Lisboa,100 €,EUR
73042585J,Urizar Payan,Esperanza,Granada,150 €,EUR
72846067F,Malena Roche,Ariana,Alicante/Alacant,150 €,EUR
02683466X,Baza Vilela,Abigail,Granada,100 €,EUR
99410296H,Lopez Besora,Juan,Noord-Holland,150 €,EUR
40024508T,Blanes Cintas,Christian,Granada,100 €,EUR
43599410N,Quinteros Cava,Alfonso,Madrid,200 €,EUR
86747193W,Solanilla Mesa,Damián,Cádiz,200 €,EUR
